Brand,Model,Processor,RAM,Storage,Display,GPU,Price_BDT,Availability,Source,Product_URL
HP,HP 15-fd0892TU Series 1 Intel Core 5 120U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,Intel Core 5,8GB,512GB SSD,"15.6""",Intel Graphics,81000,In Stock,ryans.com,https://www.ryans.com/hp-15-fd0892tu-intel-core-5-120u-silver-laptop
HP,HP 15-fc0658AU AMD Ryzen 5 7520U 16GB RAM 512GB SSD 15.6 Inch FHD Display Moonlight Blue Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,81500,In Stock,ryans.com,https://www.ryans.com/hp-15-fc0658au-amd-ryzen-5-7520u-laptop
HP,HP 15-fc0659AU AMD Ryzen 5 7520U 16GB RAM 512GB SSD 15.6 Inch FHD Display Warm Gold Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,81500,In Stock,ryans.com,https://www.ryans.com/hp-15-fc0659au-amd-ryzen-5-7520u-laptop
HP,HP 15-fc0660AU AMD Ryzen 5 7520U 16GB RAM 512GB SSD 15.6 Inch FHD Display Natural Silver Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,81500,In Stock,ryans.com,https://www.ryans.com/hp-15-fc0660au-amd-ryzen-5-7520u-laptop
ASUS,ASUS VivoBook 15 X1504VA Intel Core 5 120U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cool Silver Laptop,Intel Core 5,8GB,512GB SSD,"15.6""",Intel Graphics,82000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-15-x1504va-intel-core-5-120u-laptop
Lenovo,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 7535HS 8GB RAM 512GB SSD 4800MHz 15.3 Inch FHD+ WUXGA Display Luna Grey Laptop,AMD Ryzen 5,8GB,512GB SSD,"15.3""",AMD Radeon 660M Graphics,82500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-4800mhz-laptop
Lenovo,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 7535HS 8GB 512GB SSD 15.3 Inch FHD+ WUXGA IPS Display Cosmic Blue Laptop,AMD Ryzen 5,8GB,512GB SSD,"15.3""",AMD Radeon 660M Graphics,82500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-cosmic-blue-laptop
Acer,Acer Aspire 15 AS15-42 AMD Ryzen 7 7730U 16GB RAM 512GB SSD 15.6 Inch FHD IPS Pure Silver Laptop,AMD Ryzen 7,16GB,512GB SSD,"15.6""",AMD Radeon Graphics,84500,In Stock,ryans.com,https://www.ryans.com/acer-aspire-15-as15-42-amd-ryzen-7-7730u-laptop
Lenovo,"Lenovo IdeaPad Slim 3 14IRH10 13th Gen Intel Core i5 13420H 16GB RAM, 512GB SSD 14 Inch FHD+ WUXGA Display Luna Grey Laptop",Intel Core i5,16GB,512GB SSD,"14""",Intel UHD Graphics,85000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14irh10-13th-gen-intel-core-i5-13420h-16gb-ram-laptop
ASUS,"ASUS ExpertBook B1 B1403CVA Series 1 Intel Core 5 120U 8GB RAM, 512GB SSD 14 Inch FHD Display Gentle Grey Laptop #B1403CVA-S65967",Intel Core 5,8GB,512GB SSD,"14""",Intel Graphics,85000,In Stock,ryans.com,https://www.ryans.com/asus-expertbook-b1-b1403cva-series-1-intel-core-5-120u-laptop
Lenovo,Lenovo IdeaPad Slim 3 14IRH10 Intel Core i5 13420H 16GB RAM 512GB SSD 14 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core i5,16GB,512GB SSD,"14""",Intel UHD Graphics,87000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh10-intel-core-i5-13420h-laptop
MSI,MSI Modern A15 AI F2HMG AMD Ryzen 5 220 16GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Gray Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 740M Graphics,87000,In Stock,ryans.com,https://www.ryans.com/msi-modern-a15-ai-f2hmg-amd-ryzen-5-220-laptop
MSI,"MSI Modern A14 AI F2HMG 16GB DDR5 RAM, 512GB SSD, 14 Inch FHD Display Free DOS, Platinum Gray Laptop",,16GB,512GB SSD,"14""",AMD Radeon 780M Graphics,87000,In Stock,ryans.com,https://www.ryans.com/msi-modern-a14-ai-f2hmg-laptop
Lenovo,Lenovo IdeaPad Slim 3 15IRH10R Series 2 Intel Core 5 210H 16GB RAM 512GB SSD 15.3 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core 5,16GB,512GB SSD,"15.3""",Intel Graphics,88500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh10r-series-2-intel-core-5-210h-laptop
Lenovo,Lenovo IdeaPad Slim 3 14IRH10R Intel Core 5 210H 16GB RAM 512GB SSD 14 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core 5,16GB,512GB SSD,"14""",Intel Graphics,88500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14irh10r-laptop
Dell,"Dell Pro 15 Essential PV15250 13th Gen Intel Core i5 1334U 8GB DDR5, 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop",Intel Core i5,8GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,89900,In Stock,ryans.com,https://www.ryans.com/dell-pro-15-essential-pv15250-laptop
