Brand,Price_BDT,Availability,RAM_GB,SSD_GB,HDD_GB,Total_Storage_GB,CPU_Brand,CPU_GHz,Screen_Size,Screen_Width,Screen_Height,Is_Touchscreen,PPI,GPU_Brand
ASUS,93000.0,In Stock,16.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
Lenovo,96500.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,97000.0,In Stock,16.0,512,0,512,AMD,0.0,15.3,0,0,False,0.0,AMD
ASUS,98000.0,In Stock,16.0,1024,0,1024,Qualcomm,0.0,14.0,0,0,False,0.0,Apple
ASUS,98000.0,In Stock,16.0,1024,0,1024,Qualcomm,0.0,14.0,0,0,False,0.0,Apple
MSI,98000.0,In Stock,16.0,512,0,512,Other,0.0,15.6,0,0,False,0.0,AMD
MSI,98000.0,In Stock,16.0,512,0,512,Other,0.0,14.0,0,0,False,0.0,AMD
Lenovo,99000.0,In Stock,12.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,99500.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,99500.0,In Stock,16.0,512,0,512,Intel,0.0,15.3,0,0,False,0.0,Intel
Dell,99500.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,100500.0,In Stock,24.0,512,0,512,Intel,0.0,15.3,0,0,False,0.0,Intel
MSI,101900.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,103000.0,In Stock,8.0,512,0,512,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Acer,104000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Acer,104000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,104500.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
MSI,105900.0,In Stock,8.0,1024,0,1024,Intel,0.0,15.6,0,0,False,0.0,Intel
Lenovo,108000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,14.0,8,9,False,0.860113898485164,Apple
Lenovo,109000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
MSI,109900.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,110500.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,112000.0,In Stock,16.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
ASUS,112000.0,In Stock,16.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
Lenovo,112500.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
HP,113000.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,113000.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,113500.0,In Stock,24.0,512,0,512,Intel,0.0,15.3,0,0,False,0.0,Intel
Lenovo,114500.0,In Stock,16.0,512,0,512,AMD,0.0,13.3,0,0,False,0.0,AMD
Lenovo,115000.0,In Stock,16.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
ASUS,116000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,116000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,116000.0,In Stock,16.0,512,0,512,Intel,0.0,16.0,0,0,False,0.0,Intel
Dell,116500.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
HP,118000.0,In Stock,8.0,512,0,512,Intel,0.0,16.0,0,0,False,0.0,Intel
Acer,118000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,1024,0,1024,AMD,0.0,14.0,0,0,False,0.0,AMD
ASUS,119000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,119000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,120000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
HP,121000.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,121500.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,122000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Acer,122500.0,In Stock,16.0,512,0,512,Other,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,124000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
MSI,125000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,129000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,AMD
ASUS,129000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,AMD
HP,129500.0,In Stock,8.0,1024,0,1024,AMD,0.0,15.6,0,0,False,0.0,Nvidia
Gigabyte,129900.0,In Stock,16.0,512,0,512,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,131000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,131500.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,132000.0,In Stock,32.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,134000.0,In Stock,8.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,Nvidia
HP,135000.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,135000.0,In Stock,16.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,135500.0,In Stock,16.0,512,0,512,Other,0.0,14.0,0,0,False,0.0,Intel
Lenovo,137000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,137500.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
HP,137500.0,In Stock,8.0,512,0,512,Intel,0.0,16.0,0,0,False,0.0,Intel
Lenovo,139500.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,142500.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,143500.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Gigabyte,144000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
HP,145000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,145000.0,In Stock,16.0,1024,0,1024,AMD,0.0,14.0,0,0,False,0.0,AMD
Acer,146000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Acer,148000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
(Certified,148000.0,In Stock,16.0,256,0,256,Qualcomm,0.0,13.0,0,0,False,0.0,Apple
Acer,148000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,150000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,150000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,152000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,154000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Gigabyte,154500.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,155000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,155000.0,In Stock,24.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
MSI,155900.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,159000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,160000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,AMD
ASUS,160000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,AMD
Lenovo,160000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,160000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,160000.0,In Stock,16.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
MSI,161900.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,164000.0,In Stock,24.0,1024,0,1024,AMD,0.0,14.0,0,0,False,0.0,AMD
ASUS,164000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,165000.0,In Stock,32.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,AMD
Microsoft,167000.0,In Stock,16.0,256,0,256,Intel,0.0,13.5,0,0,False,0.0,Intel
Lenovo,168000.0,In Stock,16.0,1024,0,1024,AMD,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,170000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,15.6,0,0,False,0.0,Apple
MSI,170000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,170500.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,172000.0,In Stock,16.0,1024,0,1024,AMD,0.0,15.6,0,0,False,0.0,Nvidia
Lenovo,173000.0,In Stock,32.0,1024,0,1024,AMD,0.0,15.1,0,0,False,0.0,AMD
Apple,174000.0,In Stock,16.0,512,0,512,Apple,0.0,13.6,0,0,False,0.0,Apple
Lenovo,175000.0,In Stock,32.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,AMD
Gigabyte,179000.0,In Stock,16.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,182000.0,In Stock,16.0,1024,0,1024,Qualcomm,0.0,14.0,0,0,False,0.0,Apple
ASUS,182000.0,In Stock,16.0,1024,0,1024,Qualcomm,0.0,14.0,0,0,False,0.0,Apple
Microsoft,184000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,13.8,0,0,False,0.0,Apple
Microsoft,184000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,13.0,0,0,False,0.0,Apple
Gigabyte,185000.0,In Stock,16.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
MSI,185000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,185000.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,187000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,14.5,8,9,False,0.8304547985373997,Apple
Microsoft,189000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,13.8,0,0,False,0.0,Apple
Gigabyte,189000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,192000.0,In Stock,16.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,Nvidia
MSI,193900.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Microsoft,199000.0,In Stock,16.0,512,0,512,Qualcomm,0.0,13.0,0,0,False,0.0,Apple
ASUS,199000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,200000.0,In Stock,24.0,512,0,512,Intel,0.0,15.1,0,0,False,0.0,Nvidia
ASUS,205000.0,In Stock,16.0,512,0,512,AMD,0.0,16.0,0,0,False,0.0,Nvidia
